[ 2025-02-12 23:51:34,180 ] 148 numexpr.utils - INFO - Note: NumExpr detected 16 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[ 2025-02-12 23:51:34,180 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-02-12 23:51:35,461 ] 20 root - INFO - Initiate the data ingestion
[ 2025-02-12 23:51:52,692 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-12 23:51:52,692 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-12 23:51:52,693 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-12 23:51:52,724 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-12 23:51:52,724 ] 22 root - INFO - Data Initiation Completed
[ 2025-02-12 23:51:52,727 ] 26 root - INFO - Initiate the data Validation
[ 2025-02-12 23:51:52,735 ] 32 root - INFO - Required number of columns:2
[ 2025-02-12 23:51:52,735 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-12 23:51:52,735 ] 32 root - INFO - Required number of columns:2
[ 2025-02-12 23:51:52,736 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-12 23:51:52,813 ] 28 root - INFO - data Validation Completed
[ 2025-02-12 23:51:52,813 ] 31 root - INFO - data Transformation started
[ 2025-02-12 23:51:52,813 ] 54 root - INFO - Entered initiate_data_transformation methord of DataTransformation class
[ 2025-02-12 23:51:52,813 ] 56 root - INFO - Starting Data Transformation
[ 2025-02-12 23:51:52,823 ] 43 root - INFO - Entered get_data_transformer_object methord of class DataTransformation
[ 2025-02-12 23:51:52,823 ] 46 root - INFO - Initialised KNN imputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-12 23:51:52,828 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-12 23:51:52,830 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-12 23:51:52,830 ] 35 root - INFO - data Transformation completed
[ 2025-02-12 23:51:52,830 ] 37 root - INFO - Model Training sstared
[ 2025-02-12 23:53:45,992 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-12 23:53:45,992 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-12 23:53:45,992 ] 129 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/02_12_2025_23_51_34/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9905299214184968, precision_score=0.9895330112721417, recall_score=0.991528842275111), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9764948453608248, precision_score=0.965742251223491, recall_score=0.987489574645538))
[ 2025-02-12 23:53:45,993 ] 42 root - INFO - Model Training artifact created
